,food,Saturated Fats,Nutrition Density,Protein,Dietary Fiber,Caloric Value,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Rasio Lemak Jenuh ke Protein,Rasio Lemak Jenuh ke Serat,Fat Category
0,cream cheese,2.9,7.07,0.9,0.0,51,1.3,0.2,0.8,3.222222222222222,,Normal Fat
1,neufchatel cheese,10.9,130.1,7.8,0.0,215,4.9,0.8,3.1,1.3974358974358976,,High Fat
2,requeijao cremoso light catupiry,2.3,5.4,0.8,0.1,49,0.9,0.0,0.9,2.8749999999999996,22.999999999999996,Normal Fat
3,ricotta cheese,1.3,5.196,1.5,0.0,30,0.5,0.002,1.5,0.8666666666666667,,Normal Fat
4,cream cheese low fat,1.4,27.007,1.2,0.0,30,0.6,0.042,1.2,1.1666666666666667,,Normal Fat
5,cream cheese fat free,0.1,67.679,2.8,0.0,19,0.091,0.075,1.4,0.03571428571428572,,Normal Fat
6,gruyere cheese,5.3,300.694,8.3,0.0,116,2.8,0.5,0.1,0.6385542168674698,,Normal Fat
7,cheddar cheese,5.3,215.53,6.4,0.0,113,2.6,0.3,0.9,0.8281249999999999,,Normal Fat
8,parmesan cheese,2.7,224.777,6.4,0.0,71,1.4,0.1,0.6,0.421875,,Normal Fat
9,romano cheese,0.9,56.38,1.6,0.0,19,0.4,0.035,0.2,0.5625,,Normal Fat
10,parmesan cheese grated,0.8,3.745,1.4,0.0,21,0.4,0.036,0.7,0.5714285714285715,,Normal Fat
11,port salut cheese,22.0,928.4,31.4,0.0,465,12.3,1.0,0.8,0.7006369426751593,,High Fat
12,swiss cheese,4.6,237.396,6.7,0.0,98,2.0,0.3,0.4,0.6865671641791045,,Normal Fat
13,goat cheese hard,7.0,273.2,8.6,0.0,128,2.3,0.2,0.6,0.813953488372093,,Normal Fat
14,gouda cheese,4.9,211.424,7.0,0.0,100,2.2,0.2,0.6,0.7000000000000001,,Normal Fat
15,pepper jack cheese lucerne,4.0,13.5,5.0,2.5,75,0.0,0.0,0.0,0.8,1.6,Normal Fat
16,caraway cheese,5.3,207.072,7.1,0.0,106,2.3,0.2,0.9,0.7464788732394366,,Normal Fat
17,gjetost cheese,43.5,1095.7,21.9,0.0,1058,17.9,2.1,96.8,1.9863013698630139,,High Fat
18,tilsit cheese,6.7,301.069,9.8,0.0,136,2.9,0.3,0.8,0.6836734693877551,,Normal Fat
19,goat cheese,5.8,99.494,6.1,0.0,103,1.9,0.2,0.009,0.9508196721311476,,Normal Fat
20,brick cheese,5.6,219.002,7.0,0.0,111,2.6,0.2,0.8,0.7999999999999999,,Normal Fat
21,asadero cheese,20.3,808.175,25.5,0.0,402,9.1,1.0,3.2,0.7960784313725491,,High Fat
22,camembert cheese,4.6,129.826,5.9,0.0,90,2.1,0.2,0.1,0.7796610169491525,,Normal Fat
23,provolone cheese reduced fat,12.8,906.9,27.9,0.0,310,5.5,0.6,4.0,0.4587813620071685,,High Fat
24,roquefort cheese,16.4,609.4,18.3,0.0,314,7.2,1.1,1.7,0.896174863387978,,High Fat
25,queso blanco cheese,16.1,870.3,24.0,0.0,366,7.6,1.4,3.0,0.6708333333333334,,High Fat
26,queso seco cheese,13.3,691.0,23.8,0.0,315,6.2,1.2,2.0,0.5588235294117647,,High Fat
27,goat cheese soft,4.1,51.311,5.2,0.0,75,1.4,0.1,0.0,0.7884615384615383,,Normal Fat
28,mozzarella cheese,4.2,165.648,6.7,0.0,90,2.0,0.2,0.7,0.6268656716417911,,Normal Fat
29,chihuahua cheese,24.9,934.983,28.5,0.0,494,11.1,1.2,7.3,0.8736842105263157,,High Fat
30,limburger cheese,5.0,163.575,6.0,0.0,98,2.6,0.1,0.1,0.8333333333333334,,Normal Fat
31,muenster cheese,25.2,1019.4,30.9,0.0,486,11.5,0.9,1.5,0.8155339805825242,,High Fat
32,queso fresco cheese,15.8,745.8,22.1,0.0,365,7.3,1.3,3.6,0.7149321266968326,,High Fat
33,brie cheese,5.2,70.096,6.2,0.0,100,2.4,0.2,0.1,0.8387096774193549,,Normal Fat
34,pimento cheese,27.5,940.9,31.0,0.1,525,12.5,1.4,2.4,0.8870967741935484,275.0,High Fat
35,mexican cheese,13.0,1337.0,27.7,0.0,316,5.6,0.8,3.8,0.4693140794223827,,High Fat
36,feta cheese,4.0,160.058,4.3,0.0,80,1.4,0.2,1.2,0.9302325581395349,,Normal Fat
37,mozzarella cheese fat free,0.0,1128.2,35.8,2.0,159,0.0,0.0,4.0,0.0,0.0,Normal Fat
38,provolone cheese,22.5,1070.6,33.8,0.0,463,9.8,1.0,2.8,0.6656804733727811,,High Fat
39,anejo cheese,25.1,972.205,28.3,0.0,492,11.3,1.2,6.1,0.8869257950530035,,High Fat
40,honey,0.0,18.892,0.08,0.025,64,0.0,0.0,17.3,0.0,0.0,Normal Fat
41,apple butter,0.038,11.836,0.045,0.3,35,0.066,0.064,8.5,0.8444444444444444,0.12666666666666668,Normal Fat
42,fruit jam,0.021,19.919,0.0,0.2,56,0.065,0.0,13.8,inf,0.105,Normal Fat
43,chocolate hazelnut spread,5.3,39.8,1.0,1.0,100,0.0,0.0,11.5,5.3,5.3,Normal Fat
44,peanut butter,1.4,15.268,3.3,0.9,88,3.1,1.7,3.6,0.42424242424242425,1.5555555555555554,Normal Fat
45,peanut spread,1.6,27.3,3.8,1.2,101,4.2,2.5,2.2,0.4210526315789474,1.3333333333333335,Normal Fat
46,chicken spread,1.8,31.972,10.1,0.2,88,2.7,1.3,2.3,0.17821782178217824,9.0,Normal Fat
47,cheese spread,43.2,267.8,17.0,0.0,708,19.4,2.5,8.4,2.5411764705882356,,High Fat
48,tahini,1.0,78.6,2.7,1.4,86,2.7,3.2,3.9,0.37037037037037035,0.7142857142857143,Normal Fat
49,orange marmalade,0.0,22.119,0.014,0.1,49,0.0,0.0,13.3,0.0,0.0,Normal Fat
50,american cheese spread,2.1,97.357,2.6,0.0,46,1.0,0.062,1.4,0.8076923076923077,,Normal Fat
51,apricot jam,0.042,18.91,0.1,0.044,48,0.0,0.0,12.9,0.42,0.9545454545454547,Normal Fat
52,chunky peanut butter,1.2,24.1,3.8,1.3,94,3.7,2.2,3.5,0.3157894736842105,0.923076923076923,Normal Fat
53,ham and cheese spread,1.3,38.238,2.4,0.0,37,1.1,0.2,0.3,0.5416666666666667,,Normal Fat
54,chicken and rice casserole homade,0.0,5.7,2.0,0.3,27,0.0,0.0,2.4,0.0,0.0,Normal Fat
55,picnic loaf,1.7,23.7,4.2,0.0,65,2.2,0.5,1.3,0.4047619047619047,,Normal Fat
56,corn tamale,4.4,108.1,5.8,5.3,309,4.0,2.6,44.3,0.7586206896551725,0.8301886792452832,Normal Fat
57,baked potato with cheese sauce bacon,10.1,428.7,18.4,0.0,451,9.7,4.8,44.4,0.5489130434782609,,High Fat
58,chinese egg roll,1.9,81.5,7.4,2.3,223,2.7,5.0,24.3,0.25675675675675674,0.8260869565217391,Normal Fat
59,butter croissant,6.6,66.8,4.7,1.5,231,3.1,0.6,26.1,1.404255319148936,4.3999999999999995,Normal Fat
60,enchilada with cheese beef,9.0,292.933,11.9,0.0,323,6.1,1.4,30.5,0.7563025210084033,,Normal Fat
61,corned beef hash with potatoes,10.2,118.6,20.6,2.6,387,12.4,0.7,21.9,0.4951456310679611,3.9230769230769225,High Fat
62,biscuit with egg cheese bacon,8.5,230.2,17.4,0.3,436,11.7,2.8,35.4,0.4885057471264368,28.333333333333336,Normal Fat
63,bagel with ham egg cheese,7.9,287.6,26.7,0.4,483,5.7,3.3,52.4,0.2958801498127341,19.75,Normal Fat
64,quesadilla with chicken,11.1,588.7,27.1,3.1,529,6.8,7.4,43.3,0.40959409594095936,3.5806451612903225,High Fat
65,corn rice,0.02,51.9,1.8,0.4,110,0.0,0.1,25.2,0.011111111111111112,0.049999999999999996,Normal Fat
66,kung pao chicken,8.2,320.1,59.0,9.1,779,13.1,18.2,41.5,0.13898305084745763,0.901098901098901,Normal Fat
67,beef empanada,4.6,76.2,10.1,1.8,298,6.3,3.8,27.8,0.4554455445544554,2.5555555555555554,Normal Fat
68,frijoles with cheese,4.1,240.305,11.4,0.0,225,2.6,0.7,28.7,0.3596491228070175,,Normal Fat
69,burrito with beef,1.7,65.89,9.1,4.4,285,1.7,4.0,43.9,0.18681318681318682,0.3863636363636363,Normal Fat
70,crispy chicken sandwich,3.3,114.1,14.8,0.0,350,4.0,8.4,33.2,0.22297297297297294,,Normal Fat
71,enchilada with cheese,11.5,65.6,15.4,2.6,374,6.4,3.8,21.2,0.7467532467532467,4.423076923076923,High Fat
72,pork egg roll,1.3,96.5,8.4,1.8,189,2.0,2.1,25.1,0.15476190476190477,0.7222222222222222,Normal Fat
73,corn on the cob with butter,1.6,52.078,4.5,0.0,155,1.0,0.6,31.9,0.35555555555555557,,Normal Fat
74,pancakes with butter syrup,2.9,123.319,4.1,0.0,260,2.6,1.0,45.4,0.7073170731707318,,Normal Fat
75,burrito with beans,3.4,109.1,7.0,0.0,224,2.4,0.6,35.7,0.4857142857142857,,Normal Fat
76,scrambled eggs,2.9,44.726,6.5,0.0,100,2.8,0.9,1.0,0.4461538461538461,,Normal Fat
77,baked potato with sour cream,10.0,221.8,6.7,0.0,393,7.9,3.3,50.0,1.4925373134328357,,Normal Fat
78,turkey and gravy,2.0,67.374,14.1,0.0,161,2.3,1.1,11.1,0.14184397163120568,,Normal Fat
79,chicken egg roll,0.8,84.75,8.4,1.9,158,1.1,1.5,22.8,0.09523809523809523,0.4210526315789474,Normal Fat
80,vegetable egg roll,0.6,84.1,5.2,2.2,153,1.0,1.7,25.0,0.11538461538461538,0.2727272727272727,Normal Fat
81,ham cheese roll,2.0,26.6,3.8,0.0,67,2.4,0.6,1.1,0.5263157894736842,,Normal Fat
82,biscuit with ham,11.4,239.732,13.4,0.8,386,4.8,1.0,43.8,0.8507462686567164,14.25,High Fat
83,lemon chicken,12.2,545.212,68.6,7.0,1440,16.4,36.7,122.0,0.17784256559766765,1.7428571428571427,High Fat
84,hummus,2.8,236.1,12.0,9.8,435,12.0,5.2,49.5,0.2333333333333333,0.2857142857142857,Normal Fat
85,croissant with egg cheese,14.1,307.9,12.8,0.0,368,7.5,1.4,24.3,1.1015625,,High Fat
86,enchirito with cheese beef beans,7.9,292.984,17.9,0.0,344,6.5,0.3,33.8,0.44134078212290506,,Normal Fat
87,sweet sour pork,0.4,13.977,1.2,0.1,38,0.5,1.0,3.3,0.33333333333333337,4.0,Normal Fat
88,crab cake,2.2,230.596,11.3,0.2,160,4.3,3.1,5.1,0.19469026548672566,11.0,Normal Fat
89,egg dinner roll,0.6,46.913,3.3,1.3,107,1.0,0.4,18.2,0.18181818181818182,0.4615384615384615,Normal Fat
90,english muffin with egg cheese sausage,11.4,362.7,22.1,0.3,472,11.2,4.6,28.8,0.5158371040723981,38.0,High Fat
91,buttermilk pancakes,0.7,77.568,2.6,0.0,86,0.9,1.7,10.9,0.2692307692307692,,Normal Fat
92,omelet,2.0,14.377,6.4,0.0,94,3.0,1.7,0.4,0.3125,,Normal Fat
93,taco with chicken cheese lettuce,2.5,161.153,13.0,1.2,185,1.6,1.6,19.3,0.19230769230769232,2.0833333333333335,Normal Fat
94,spinach souffle,10.1,273.4,10.7,1.0,230,5.0,1.0,8.0,0.9439252336448598,10.1,High Fat
95,english muffin with cheese sausage,8.8,294.696,14.3,0.5,365,8.5,3.4,27.3,0.6153846153846154,17.6,Normal Fat
96,potato gratin,11.6,380.7,12.4,4.4,328,5.3,0.7,27.6,0.9354838709677419,2.6363636363636362,High Fat
97,biscuit with egg,8.5,230.3,17.4,0.3,436,11.7,2.8,35.4,0.4885057471264368,28.333333333333336,Normal Fat
98,french fries deep fried,1.7,45.364,2.4,2.7,222,4.2,3.8,29.4,0.7083333333333334,0.6296296296296295,Normal Fat
99,sweet sour chicken,0.4,17.773,1.8,0.2,46,0.5,1.2,4.4,0.22222222222222224,2.0,Normal Fat
100,burrito with beans beef,7.0,326.183,27.8,7.2,460,7.8,1.4,47.0,0.2517985611510791,0.9722222222222222,Normal Fat
101,nachos with cinnamon sugar,18.2,202.5,7.2,0.0,592,11.8,4.1,63.4,2.5277777777777777,,High Fat
102,arroz con grandules,0.9,56.2,4.0,1.6,209,1.2,2.7,35.4,0.225,0.5625,Normal Fat
103,chili con carne,3.2,66.245,14.7,8.3,271,3.6,1.0,33.1,0.217687074829932,0.38554216867469876,Normal Fat
104,arroz con abichuelas,0.8,78.5,6.2,4.1,223,1.1,2.5,37.3,0.12903225806451613,0.19512195121951223,Normal Fat
105,biscuit with sausage,8.2,125.8,10.7,0.4,412,13.5,3.4,33.3,0.7663551401869159,20.499999999999996,Normal Fat
106,vegetarian stew,1.2,149.2,42.0,2.7,304,1.8,3.8,17.3,0.02857142857142857,0.4444444444444444,Normal Fat
107,chicken sandwich with cheese,12.4,374.2,29.4,0.0,632,13.7,9.9,41.6,0.4217687074829932,,High Fat
108,biscuit with egg steak,8.6,210.8,17.9,0.0,410,11.7,5.8,21.3,0.48044692737430167,,Normal Fat
109,taco salad,5.2,189.0,10.0,0.0,212,3.9,1.3,17.9,0.52,,Normal Fat
110,succotash,0.3,109.2,9.7,0.0,213,0.3,0.7,46.8,0.030927835051546393,,Normal Fat
111,nachos with cheese jalapeno peppers,14.0,735.0,16.8,0.0,608,14.4,4.0,60.1,0.8333333333333333,,High Fat
112,biscuit with egg ham,5.9,305.1,20.4,0.8,442,11.0,7.7,31.4,0.28921568627450983,7.375,Normal Fat
113,ladyfingers,0.9,38.1,3.0,0.3,103,1.1,0.4,16.9,0.3,3.0,Normal Fat
114,mozzarella steak fried,2.2,126.963,4.6,0.6,102,1.5,1.6,7.7,0.47826086956521746,3.666666666666667,Normal Fat
115,tamale navajo,4.5,122.0,11.7,5.8,285,5.1,1.3,33.7,0.38461538461538464,0.7758620689655172,Normal Fat
116,blueberry pancakes,0.8,96.631,2.3,0.0,84,0.9,1.6,11.0,0.3478260869565218,,Normal Fat
117,chimichanga with beef cheese,11.2,327.3,20.1,0.0,443,9.4,0.7,39.3,0.5572139303482586,,High Fat
118,egg cheese sandwich,6.6,290.4,15.6,0.0,340,8.3,2.6,25.9,0.4230769230769231,,Normal Fat
119,biscuit with egg bacon,8.0,272.958,17.0,0.8,458,13.4,7.5,28.6,0.47058823529411764,10.0,Normal Fat
120,pupusas con queso,7.6,439.9,13.7,3.4,300,4.0,1.8,26.2,0.5547445255474452,2.235294117647059,Normal Fat
121,apple croissant,2.8,49.733,4.2,1.4,145,1.4,0.4,21.1,0.6666666666666666,2.0,Normal Fat
122,refried red beans,2.2,156.2,11.7,11.0,336,3.9,10.2,36.0,0.18803418803418806,0.2,Normal Fat
123,tostada with guacamole,4.9,247.853,6.2,0.0,180,4.2,1.5,16.0,0.7903225806451614,,Normal Fat
124,chicken sandwich,4.0,94.051,30.4,2.6,468,8.4,5.9,39.1,0.13157894736842105,1.5384615384615383,Normal Fat
125,fried rice,0.7,75.203,6.5,1.5,228,0.8,1.3,43.4,0.10769230769230768,0.4666666666666666,Normal Fat
126,pupusas del cerdo,3.9,119.087,14.0,3.2,283,4.8,2.7,28.1,0.2785714285714286,1.21875,Normal Fat
127,turkey pot pie,11.4,139.4,25.8,4.4,699,13.7,5.5,70.3,0.4418604651162791,2.590909090909091,High Fat
128,cheese croissant,8.5,108.3,7.4,2.1,331,5.2,1.9,37.6,1.1486486486486487,4.0476190476190474,Normal Fat
129,chimichanga with beef,8.5,153.9,19.6,0.0,425,8.1,1.1,42.8,0.4336734693877551,,Normal Fat
130,french toast with butter,3.9,70.093,5.2,0.0,178,3.5,1.2,18.0,0.75,,Normal Fat
